"","Count.ID","Facility","State","Name","Date","Website","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Negative","Staff.Negative","Residents.Pending","Staff.Pending","Residents.Quarantine","Staff.Quarantine","Residents.Released","Resident.Population","Address","Zipcode","City","County","Latitude","Longitude","County.FIPS","hifld_id","Notes","Population","Population.Source"
"1",1,"Prison","Alabama","ALEX CITY",2020-10-18,"http://www.doc.alabama.gov/covid19news","1","5","0","0","1","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","HIGHWAY 22 WEST","35011","ALEX CITY","COOSA",32.9044711353038,"-86.008968968190104","1037",10003721,"NA",201,"HIFLD Dataset"
"2",2,"Prison","Alabama","ATEF",2020-10-18,"http://www.doc.alabama.gov/covid19news","1","2","0","0","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","102 INDUSTRIAL PARKWAY","35051","COLUMBIANA","SHELBY",33.1810049880429,"-86.624017242168406","1117",10006524,"NA",281,"HIFLD Dataset"
"3",3,"Prison","Alabama","BIBB",2020-10-18,"http://www.doc.alabama.gov/covid19news","4","17","0","0","4","17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","565 BIBB LANE","35034","BRENT","BIBB",32.92242,"-87.164580000000001","1007",10001954,"NA",1808,"HIFLD Dataset"
"4",4,"Prison","Alabama","BIRMINGHAM",2020-10-18,"http://www.doc.alabama.gov/covid19news","0","12","0","0","0","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1216 25TH ST N","35234","BIRMINGHAM","JEFFERSON",33.531046319024,"-86.8083618069642","1073",10001204,"NA",239,"HIFLD Dataset"
"5",5,"Prison","Alabama","BULLOCK",2020-10-18,"http://www.doc.alabama.gov/covid19news","58","25","1","0","56","18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","104 BULLOCK DR","36089","UNION SPRINGS","BULLOCK",32.1494028486044,"-85.672320129016398","1011",10001223,"NA",1343,"HIFLD Dataset"
"6",6,"Prison","Alabama","CAMDEN",2020-10-18,"http://www.doc.alabama.gov/covid19news","0","1","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1780 ALABAMA HWY 221","36726","CAMDEN","WILCOX",31.9948370814826,"-87.333123206025206","1131",10000142,"NA",93,"HIFLD Dataset"
"7",7,"Prison","Alabama","CHILDERSBURG",2020-10-18,"http://www.doc.alabama.gov/covid19news","0","1","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13501 PLANT RD","35014","ALPINE","TALLADEGA",33.3649332316576,"-86.332197622600205","1121",10001209,"NA",368,"HIFLD Dataset"
"8",8,"Prison","Alabama","CJC",2020-10-18,"http://www.doc.alabama.gov/covid19news","0","23","0","0","0","22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA",NA,NA
"9",9,"Prison","Alabama","DONALDSON",2020-10-18,"http://www.doc.alabama.gov/covid19news","1","6","0","0","1","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100 WARRIOR LN","35023","BESSEMER","JEFFERSON",33.5136666293233,"-87.184783687917204","1073",10000132,"NA",1386,"HIFLD Dataset"
"10",1376,"Prison","Alabama","DRAPER QIF",2020-10-18,"http://www.doc.alabama.gov/covid19news","66","0","0","0","65","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA",NA,NA
"11",10,"Prison","Alabama","EASTERLING",2020-10-18,"http://www.doc.alabama.gov/covid19news","31","14","1","0","30","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","200 WALLACE DR","36017","CLIO","BARBOUR",31.6893814911132,"-85.585558890007704","1005",10000144,"NA",1229,"HIFLD Dataset"
"12",11,"Prison","Alabama","ELBA",2020-10-18,"http://www.doc.alabama.gov/covid19news","1","1","0","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1620 BOSWELL ST","36323","ELBA","COFFEE",31.4131238578744,"-86.083737482863995","1031",10001226,"NA",130,"HIFLD Dataset"
"13",12,"Prison","Alabama","ELMORE",2020-10-18,"http://www.doc.alabama.gov/covid19news","27","18","0","0","27","18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3520 MARION SPILLWAY ROAD","36025","ELMORE","ELMORE",32.5743047860697,"-86.320805817066002","1051",10001214,"NA",1161,"HIFLD Dataset"
"14",13,"Prison","Alabama","FOUNTAIN",2020-10-18,"http://www.doc.alabama.gov/covid19news","19","28","1","0","18","26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9677 AL HWY 21 N","36503","ATMORE","ESCAMBIA",31.15658,"-87.463719999999995","1053",10001957,"NA",1136,"HIFLD Dataset"
