Count.ID,Name,Date,State,City,Facility.Type,Staff.Confirmed,Residents.Confirmed,Staff.Deaths,Residents.Deaths,Staff.Recovered,Residents.Recovered,Staff.Tested,Residents.Tested,Staff.Negative,Residents.Negative,Staff.Pending,Residents.Pending,Staff.Quarantine,Residents.Quarantine,Residents.Population,Address,Zipcode,Zip4,County,County.FIPS,Latitude,Longitude,Notes,Website
1,ALEX CITY,2020-07-24,Alabama,HUNTINGTON BEACH,Prison,3,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000 MAIN STREET,92648,NA,ORANGE,6059,33.67841,-118.00141,NA,http://www.doc.alabama.gov/covid19news
2,ATEF,2020-07-24,Alabama,COLUMBIANA,Prison,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,102 INDUSTRIAL PARKWAY,35051,NA,SHELBY,1117,33.1808286,-86.622611,NA,http://www.doc.alabama.gov/covid19news
3,BIBB,2020-07-24,Alabama,CLINTON,Prison,10,1,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,184 DETENTION DR,72031,NA,VAN BUREN,5141,35.5701,-92.44922,NA,http://www.doc.alabama.gov/covid19news
4,BIRMINGHAM,2020-07-24,Alabama,KILLEEN,Prison,9,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800 E RANCIER AVE,76543,NA,BELL,48027,31.1135,-97.67579,NA,http://www.doc.alabama.gov/covid19news
5,BULLOCK,2020-07-24,Alabama,MOUNTAIN VIEW,Prison,13,8,0,0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009 SHERIFFS DR,72560,NA,STONE,5137,35.86803,-92.13057,NA,http://www.doc.alabama.gov/covid19news
6,CAMDEN,2020-07-24,Alabama,RIO GRANDE,Prison,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARR. 3 KM. 32.9 BO. TRES T,745,NA,RIO GRANDE,72119,NA,NA,NA,http://www.doc.alabama.gov/covid19news
7,CHILDERSBURG,2020-07-24,Alabama,JACKSBORO,Prison,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1432 FM 3344,76458,NA,JACK,48237,33.24021,-98.15699,NA,http://www.doc.alabama.gov/covid19news
8,CJC,2020-07-24,Alabama,NA,Prison,14,0,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
9,DONALDSON,2020-07-24,Alabama,ASH FLAT,Prison,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 A COURT STREET,72513,NA,SHARP,5135,36.2275987,-91.6062109,NA,http://www.doc.alabama.gov/covid19news
1376,DRAPER QIF,2020-07-24,Alabama,NA,Prison,0,20,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
10,EASTERLING,2020-07-24,Alabama,CLIO,Prison,9,28,0,1,7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,200 WALLACE DR,36017,2615,BARBOUR,1005,31.69253,-85.58556,NA,http://www.doc.alabama.gov/covid19news
